ym:pv:artificial	ym:pv:browser	ym:pv:clientID	ym:pv:date	ym:pv:dateTime	ym:pv:deviceCategory	ym:pv:download	ym:pv:from	ym:pv:goalsID	ym:pv:lastAdvEngine	ym:pv:lastSearchEngine	ym:pv:lastSearchEngineRoot	ym:pv:lastSocialNetwork	ym:pv:lastSocialNetworkProfile	ym:pv:lastTrafficSource	ym:pv:link	ym:pv:mobilePhone	ym:pv:operatingSystem	ym:pv:operatingSystemRoot	ym:pv:referer	ym:pv:regionCity	ym:pv:regionCityID	ym:pv:regionCountry	ym:pv:regionCountryID	ym:pv:URL
0	chromemobile	1688926917435071780	2023-07-09	2023-07-09 21:21:56	2	0		[]	yandex					ad	0	samsung	android_12	android		Perm	50	Russia	225	https://zeonpbx.ru/call-center
0	chrome	1684960743300864264	2023-06-25	2023-06-25 18:14:56	1	0		[]						direct	0		windows10	windows		Saint Petersburg	2	Russia	225	https://zeonpbx.ru/
1	chrome	1684960743300864264	2023-06-25	2023-06-25 18:15:15	1	0		[]						direct	0		windows10	windows		Saint Petersburg	2	Russia	225	https://zeonpbx.ru/
0	chrome	1687702756227101054	2023-06-25	2023-06-25 17:19:15	1	0		[]	yandex	yandex_search	yandex			ad	0		windows10	windows	https://yandex.ru/	Moscow	213	Russia	225	https://zeonpbx.ru/
0	chrome	1687698384499482252	2023-06-25	2023-06-25 16:06:31	1	0		[]	yandex	yandex_search	yandex			ad	0		windows_xp	windows	https://yandex.ru/search/?text=программное обеспечение для контакт центра реферат&lr=11121	Almetyevsk	11121	Russia	225	https://zeonpbx.ru/?etext=2202._oeuKoHbKcYfC4SdQFKHMf0I4wilGmi2jRBj4y-2G1bAFQPcvTDHbYWzhDKlRVZXrQ4zNNe-9m-wZ0FB4uViCjMInxkBJw-qzC-6pkCyjJyn0u0ybtXtZYwSYC8Px69BRxGdZeryXVBMXXvejZiGB3FzenJ2dXZsaGJjbHlvbnM.a82977b9d964d17fc87dc0a67e6c7561e206ab77
0	opera	1687709125368413514	2023-06-25	2023-06-25 19:05:21	1	0		[]	yandex	yandex_search	yandex			ad	0		windows10	windows	https://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=2202&&l10n=ru&hdtime=1868.2&baobab_event_id=ljbmfqgsmj	Moscow	213	Russia	225	https://zeonpbx.ru/call-center?etext=2202.6aN-mYSpRJP7-UEFS9uQj3Bkc25qemlscXN0cW5wYWM.48f7208b0ac334076b49048685cddd9b5818f720
1	opera	1687709125368413514	2023-06-25	2023-06-25 19:05:37	1	0		[]	yandex					ad	0		windows10	windows		Moscow	213	Russia	225	https://zeonpbx.ru/call-center?etext=2202.6aN-mYSpRJP7-UEFS9uQj3Bkc25qemlscXN0cW5wYWM.48f7208b0ac334076b49048685cddd9b5818f720
0	chromemobile	1685688704442989687	2023-06-25	2023-06-25 17:56:46	2	0		[]	yandex					ad	0	xiaomi	android_pie90	android		Lysva	20244	Russia	225	https://zeonpbx.ru/call-center
1	chromemobile	1685688704442989687	2023-06-25	2023-06-25 17:57:01	2	0		[]	yandex					ad	0	xiaomi	android_pie90	android		Lysva	20244	Russia	225	https://zeonpbx.ru/call-center
0	chromemobile	1687718586482705662	2023-06-25	2023-06-25 21:43:06	2	0		[]	yandex	yandex_search	yandex			ad	0		android_13	android	https://yandex.ru/	Smolensk	12	Russia	225	https://zeonpbx.ru/
0	firefox	168770979879900856	2023-06-25	2023-06-25 19:16:38	1	0		[]	yandex	yandex_search	yandex			ad	0		windows10	windows	https://yandex.ru/	Svetlograd	11068	Russia	225	https://zeonpbx.ru/call-center
1	firefox	168770979879900856	2023-06-25	2023-06-25 19:16:54	1	0		[]	yandex					ad	0		windows10	windows		Svetlograd	11068	Russia	225	https://zeonpbx.ru/call-center
0	safari_mobile	1688986479379669974	2023-07-10	2023-07-10 13:54:40	2	0		[]		google_search	google			organic	0	apple	ios16	ios_double	https://google.com/	Abu Dhabi	11498	United Arab Emirates	210	https://zeonpbx.ru/
1	safari_mobile	1688986479379669974	2023-07-10	2023-07-10 13:54:54	2	0		[]						direct	0	apple	ios16	ios_double		Abu Dhabi	11498	United Arab Emirates	210	https://zeonpbx.ru/
0	safari_mobile	1688986479379669974	2023-07-10	2023-07-10 13:55:07	2	0		[]						internal	0	apple	ios16	ios_double	https://zeonpbx.ru/	Abu Dhabi	11498	United Arab Emirates	210	https://zeonpbx.ru/company
0	safari_mobile	1688986479379669974	2023-07-10	2023-07-10 17:05:36	2	0		[]		google_search	google			organic	0	apple	ios16	ios_double	https://google.com/	Dubai	11499	United Arab Emirates	210	https://zeonpbx.ru/
0	safari_mobile	1688986479379669974	2023-07-10	2023-07-10 17:05:37	2	0		[]		google_search	google			organic	0	apple	ios16	ios_double	https://google.com/	Sharjah	20843	United Arab Emirates	210	https://zeonpbx.ru/
0	yandex_browser	1688968363322211205	2023-07-10	2023-07-10 08:52:43	1	0		[]		yandex_search	yandex			organic	0		windows10	windows	https://yandex.ru/	Ulan-Ude	198	Russia	225	https://zeonpbx.ru/banks
1	yandex_browser	1688968363322211205	2023-07-10	2023-07-10 08:52:58	1	0		[]						direct	0		windows10	windows		Ulan-Ude	198	Russia	225	https://zeonpbx.ru/banks
0	chromemobile	1688938063854526808	2023-07-10	2023-07-10 00:27:43	2	0		[]	yandex					ad	0	xiaomi	android_10	android	https://kaluga-poisk.ru/		0	Russia	225	https://zeonpbx.ru/call-center
0	yandex_browser	1688986246221383526	2023-07-10	2023-07-10 13:50:45	1	0		[]						internal	0		windows10	windows	https://zeonpbx.ru/otrasresheniya		0	Russia	225	https://zeonpbx.ru/call-center
1	yandex_browser	1688986246221383526	2023-07-10	2023-07-10 13:51:01	1	0		[]						direct	0		windows10	windows			0	Russia	225	https://zeonpbx.ru/call-center
0	yandex_browser	1688986246221383526	2023-07-10	2023-07-10 16:39:10	1	0		[]						direct	0		windows10	windows		Kazan	43	Russia	225	https://zeonpbx.ru/
1	yandex_browser	1688986246221383526	2023-07-10	2023-07-10 16:39:24	1	0		[]						direct	0		windows10	windows		Kazan	43	Russia	225	https://zeonpbx.ru/
0	yandex_browser	1689010370748369138	2023-07-10	2023-07-10 20:32:49	1	0		[]	yandex	yandex_search	yandex			ad	0		windows10	windows	https://yandex.ru/	Izhevsk	44	Russia	225	https://zeonpbx.ru/?etext=2202.-ehUpHIBHVjzw0APFEc4wBT56yPOuhetu9OKTs2G3vN5L9D9VozuUDid4GE4lVUq1xbDP2SLD6-lGmFfdMK0fBYEv9RCgQUWd0cLRE9H8qfoUlFP0SOHYBCaPK92NHPObWF6anF3aWZxeGFwcG9wbA.b38ac87ae0737280c60d7360d527dd1da814ec99
0	chromemobile	1688926917435071780	2023-07-10	2023-07-10 12:35:24	2	0		[]	yandex					ad	0	samsung	android_12	android		Perm	50	Russia	225	https://zeonpbx.ru/call-center
0	dalvik	1688985710578065351	2023-07-10	2023-07-10 13:41:50	2	0		[]						direct	0	huawei	android_oreo81	android		Moscow	213	Russia	225	https://zeonpbx.ru/robotmasha
0	chromemobile	1688940102147811979	2023-07-10	2023-07-10 01:01:41	2	0		[]	yandex					ad	0	oppo	android_11	android	https://kofechay.com/		0	Russia	225	https://zeonpbx.ru/
