ym:s:bounce	ym:s:browser	ym:s:clientID	ym:s:date	ym:s:dateTime	ym:s:dateTimeUTC	ym:s:deviceCategory	ym:s:endURL	ym:s:from	ym:s:goalsDateTime	ym:s:goalsID	ym:s:goalsSerialNumber	ym:s:isNewUser	ym:s:lastAdvEngine	ym:s:lastReferalSource	ym:s:lastSearchEngine	ym:s:lastSearchEngineRoot	ym:s:lastSocialNetwork	ym:s:lastSocialNetworkProfile	ym:s:lastTrafficSource	ym:s:mobilePhone	ym:s:operatingSystem	ym:s:operatingSystemRoot	ym:s:pageViews	ym:s:referer	ym:s:regionCity	ym:s:regionCityID	ym:s:regionCountry	ym:s:regionCountryID	ym:s:startURL	ym:s:visitDuration	ym:s:visitID	ym:s:watchIDs
1	yandexsearch	168236882927256752	2023-04-24	2023-04-24 23:40:27	2023-04-24 23:40:27	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	yandex.ru					ad	samsung	android_12	android	1	https://yandex.ru/games/play/201539?app-id=201539&is-united-page=1&is-app-page=1	Korolev	20728	Russia	225	https://zeonpbx.ru/call-center	0	2148539431996883220	[2148539431996883220]
0	chromemobile	1686884300399657621	2023-06-16	2023-06-16 05:58:20	2023-06-16 05:58:20	2	https://zeonpbx.ru/gos		[]	[]	[]	1	ya_direct	kakoy--smysl-ru.turbopages.org					ad	samsung	android_11	android	5	https://kakoy--smysl-ru.turbopages.org/	Miass	11212	Russia	225	https://zeonpbx.ru/call-center	378	3332243633401495767	[3332243633401495767,3332266697670262802,3332290335885230458,3332311042607022098,3332342728287584471,3332249574611091671]
0	chromemobile	1684606379828087466	2023-05-21	2023-05-21 21:40:30	2023-05-21 21:40:30	2	https://zeonpbx.ru/call-center		[]	[]	[]	0	ya_direct						ad	samsung	android_12	android	1			0	Russia	225	https://zeonpbx.ru/call-center	16	2758182309177066131	[2758182309177066131,2758186597936267981]
1	chrome	1687438892393191585	2023-06-22	2023-06-22 16:01:34	2023-06-22 16:01:34	1	https://zeonpbx.ru/?etext=2202.6MQj3naGVQW1h1VdqEF-ZlNt2dKH-XKs3KeHF33b-ndha210bXJzdnNhZ25scXl1.39686dcde450188a0747a8e941cc270a99d61843		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad		windows_7_2008server	windows	1	https://yandex.ru/	Kotlas	10846	Russia	225	https://zeonpbx.ru/?etext=2202.6MQj3naGVQW1h1VdqEF-ZlNt2dKH-XKs3KeHF33b-ndha210bXJzdnNhZ25scXl1.39686dcde450188a0747a8e941cc270a99d61843	0	3477626999063445775	[3477626999063445775]
1	miui	1681810169897070193	2023-04-30	2023-04-30 14:55:35	2023-04-30 14:55:35	2	https://zeonpbx.ru/		[]	[]	[]	0	ya_direct						ad	xiaomi	android_11	android	1			0	Russia	225	https://zeonpbx.ru/	0	2276179339382882484	[2276179339382882484]
1	chromemobile	1682350149142038264	2023-04-24	2023-04-24 18:29:09	2023-04-24 18:29:09	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	xiaomi	android_11	android	1		Lubercy	10738	Russia	225	https://zeonpbx.ru/call-center	0	2143643463390855509	[2143643463390855509]
0	chrome	16455327551065685094	2023-04-05	2023-04-05 10:45:55	2023-04-05 10:45:55	1	https://zeonpbx.ru/techchar		[]	[]	[]	0	ya_undefined						direct		windows10	windows	2		Moscow	213	Russia	225	https://zeonpbx.ru/policy	19	1706021421903511614	[1706021421903511614,1706022310630654241,1706026493736386750]
1	chromemobile	168629327842794597	2023-06-09	2023-06-09 09:48:21	2023-06-09 09:48:21	2	https://zeonpbx.ru/		[]	[]	[]	1	google_adwords	google.com	google_search	google			ad		android_10	android	1	https://google.com/	Kingston	10132	Jamaica	10013	https://zeonpbx.ru/	0	3177316621568180272	[3177316621568180272]
1	chromemobile	1687291138900276209	2023-06-20	2023-06-20 22:59:00	2023-06-20 22:59:00	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	trashbox.ru					ad	transsion	android_10	android	1	https://trashbox.ru/		0	Russia	225	https://zeonpbx.ru/call-center	0	3438894184868872618	[3438894184868872618]
1	chromemobile	168739208229952234	2023-06-22	2023-06-22 03:01:22	2023-06-22 03:01:22	2	https://zeonpbx.ru/medcentre		[]	[]	[]	1	ya_direct						ad	realme	android_12	android	1		Kirov	46	Russia	225	https://zeonpbx.ru/medcentre	0	3465355620469702732	[3465355620469702732]
